experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,stopping_step,frozen_step,frozen,stop_reason,successful_changes,endpoint_changes,target_changes,target_reached,feature_0_changes,feature_0_relative_changes,feature_1_changes,feature_1_relative_changes,feature_2_changes,feature_2_relative_changes,feature_3_changes,feature_3_relative_changes,feature_4_changes,feature_4_relative_changes,feature_5_changes,feature_5_relative_changes,feature_6_changes,feature_6_relative_changes,feature_7_changes,feature_7_relative_changes
survey_T1_to_T4_target_changes,axelrod_simulations,0,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,310,3513,3513,False,target_reached,1157,801,801,True,82,0.10237203495630462,115,0.14357053682896379,119,0.14856429463171036,105,0.13108614232209737,58,0.07240948813982521,93,0.11610486891385768,106,0.132334581772784,123,0.15355805243445692
survey_T1_to_T4_target_changes,axelrod_simulations,1,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,302,3633,3633,False,target_reached,1189,801,801,True,72,0.0898876404494382,100,0.12484394506866417,136,0.16978776529338327,104,0.12983770287141075,61,0.07615480649188515,107,0.13358302122347065,109,0.13607990012484394,112,0.13982521847690388
survey_T1_to_T4_target_changes,axelrod_simulations,2,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,315,3389,3389,False,target_reached,1121,801,801,True,84,0.10486891385767791,119,0.14856429463171036,107,0.13358302122347065,105,0.13108614232209737,62,0.07740324594257178,97,0.12109862671660425,121,0.15106117353308365,106,0.132334581772784
survey_T1_to_T4_target_changes,axelrod_simulations,3,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,299,3458,3458,False,target_reached,1149,801,801,True,84,0.10486891385767791,90,0.11235955056179775,111,0.13857677902621723,125,0.1560549313358302,78,0.09737827715355805,95,0.11860174781523096,107,0.13358302122347065,111,0.13857677902621723
survey_T1_to_T4_target_changes,axelrod_simulations,4,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,304,3603,3603,False,target_reached,1202,801,801,True,92,0.11485642946317104,121,0.15106117353308365,110,0.1373283395755306,116,0.14481897627965043,79,0.0986267166042447,83,0.10362047440699126,87,0.10861423220973783,113,0.14107365792759052
survey_T1_to_T4_target_changes,axelrod_simulations,5,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,315,3681,3681,False,target_reached,1194,801,801,True,90,0.11235955056179775,110,0.1373283395755306,101,0.12609238451935081,125,0.1560549313358302,77,0.09612983770287141,89,0.1111111111111111,107,0.13358302122347065,102,0.12734082397003746
survey_T1_to_T4_target_changes,axelrod_simulations,6,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,315,3497,3497,False,target_reached,1159,801,801,True,95,0.11860174781523096,130,0.16229712858926343,88,0.10986267166042447,116,0.14481897627965043,64,0.07990012484394507,93,0.11610486891385768,114,0.14232209737827714,101,0.12609238451935081
survey_T1_to_T4_target_changes,axelrod_simulations,7,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,305,3444,3444,False,target_reached,1153,801,801,True,94,0.11735330836454431,119,0.14856429463171036,124,0.15480649188514356,120,0.149812734082397,62,0.07740324594257178,82,0.10237203495630462,89,0.1111111111111111,111,0.13857677902621723
survey_T1_to_T4_target_changes,axelrod_simulations,8,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,310,3265,3265,False,target_reached,1139,801,801,True,91,0.1136079900124844,119,0.14856429463171036,126,0.15730337078651685,105,0.13108614232209737,80,0.09987515605493133,73,0.09113607990012484,105,0.13108614232209737,102,0.12734082397003746
survey_T1_to_T4_target_changes,axelrod_simulations,9,complete,10,10,343,58653,342.0,4,8,5,200000,0,265,302,3590,3590,False,target_reached,1247,801,801,True,98,0.12234706616729088,106,0.132334581772784,123,0.15355805243445692,119,0.14856429463171036,65,0.08114856429463171,92,0.11485642946317104,100,0.12484394506866417,98,0.12234706616729088
