experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
f_sweep,axelrod_f_sweep,0,lattice,10,10,100,180,3.6,4,3,5,200000,0,61,1,69700,True
f_sweep,axelrod_f_sweep,1,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,4,75700,True
f_sweep,axelrod_f_sweep,2,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,2,76300,True
f_sweep,axelrod_f_sweep,3,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,5,117700,True
f_sweep,axelrod_f_sweep,4,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,8,24200,True
f_sweep,axelrod_f_sweep,5,lattice,10,10,100,180,3.6,4,3,5,200000,0,64,7,55500,True
f_sweep,axelrod_f_sweep,6,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,4,70600,True
f_sweep,axelrod_f_sweep,7,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,6,55400,True
f_sweep,axelrod_f_sweep,8,lattice,10,10,100,180,3.6,4,3,5,200000,0,75,3,71100,True
f_sweep,axelrod_f_sweep,9,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,1,70700,True
f_sweep,axelrod_f_sweep,10,lattice,10,10,100,180,3.6,4,3,5,200000,0,61,2,58200,True
f_sweep,axelrod_f_sweep,11,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,1,62000,True
f_sweep,axelrod_f_sweep,12,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,2,39900,True
f_sweep,axelrod_f_sweep,13,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,3,112100,True
f_sweep,axelrod_f_sweep,14,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,3,142000,True
f_sweep,axelrod_f_sweep,15,lattice,10,10,100,180,3.6,4,3,5,200000,0,61,4,42100,True
f_sweep,axelrod_f_sweep,16,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,7,31100,True
f_sweep,axelrod_f_sweep,17,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,1,54100,True
f_sweep,axelrod_f_sweep,18,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,1,42800,True
f_sweep,axelrod_f_sweep,19,lattice,10,10,100,180,3.6,4,3,5,200000,0,65,1,84700,True
f_sweep,axelrod_f_sweep,20,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,3,56900,True
f_sweep,axelrod_f_sweep,21,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,4,46400,True
f_sweep,axelrod_f_sweep,22,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,1,38900,True
f_sweep,axelrod_f_sweep,23,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,7,43000,True
