topology,n_features,n_traits,final_unique_cultures_median,final_unique_cultures_q025,final_unique_cultures_q975,frozen_step_median,frozen_step_q025,frozen_step_q975,initial_unique_cultures_median,initial_unique_cultures_q025,initial_unique_cultures_q975
complete,3,5,1.0,1.0,3.0,37400.0,21285.0,66402.5,69.0,63.0,75.0
complete,5,5,1.0,1.0,1.0,50700.0,32087.5,79905.0,99.0,96.0,100.0
complete,10,5,1.0,1.0,1.0,87750.0,64180.0,122510.0,100.0,100.0,100.0
complete,20,5,1.0,1.0,4.0,166350.0,132732.5,200000.0,100.0,100.0,100.0
er,3,5,4.0,1.0,8.0,37600.0,20585.0,64305.0,69.0,63.0,75.0
er,5,5,3.0,1.0,6.0,41550.0,23982.5,66097.50000000003,99.0,96.0,100.0
er,10,5,3.0,1.0,6.0,60400.0,42685.0,88807.5,100.0,100.0,100.0
er,20,5,3.0,1.0,6.0,110650.0,85992.5,141787.50000000003,100.0,100.0,100.0
lattice,3,5,3.0,1.0,8.025000000000006,58300.0,25760.0,125575.00000000001,69.0,63.0,75.0
lattice,5,5,1.0,1.0,2.0,63350.0,35590.0,99507.5,99.0,96.0,100.0
lattice,10,5,1.0,1.0,1.0,88450.0,56847.5,143207.5,100.0,100.0,100.0
lattice,20,5,1.0,1.0,1.0,137450.0,102247.5,184030.00000000003,100.0,100.0,100.0
scale_free,3,5,3.0,1.0,10.0,24800.0,11830.000000000002,48407.5,69.0,63.0,75.0
scale_free,5,5,1.0,1.0,2.0,28100.0,18080.0,43930.00000000001,99.0,96.0,100.0
scale_free,10,5,1.0,1.0,1.0,42450.0,29085.0,61705.0,100.0,100.0,100.0
scale_free,20,5,1.0,1.0,1.0,74450.0,54600.0,96412.5,100.0,100.0,100.0
