topology,n_features,n_traits,final_unique_cultures_median,final_unique_cultures_q025,final_unique_cultures_q975,frozen_step_median,frozen_step_q025,frozen_step_q975,initial_unique_cultures_median,initial_unique_cultures_q025,initial_unique_cultures_q975,frozen_rate,isolated_nodes_mean
complete,5,3,1.0,1.0,1.0,35800.0,21267.5,60637.50000000001,82.0,75.0,88.0,1.0,0.0
complete,5,5,1.0,1.0,1.0,50700.0,32087.5,79905.0,99.0,96.0,100.0,1.0,0.0
complete,5,10,1.0,1.0,2.0,67150.0,49185.0,99802.5,100.0,99.0,100.0,1.0,0.0
complete,5,20,1.0,1.0,3.0,86400.0,60985.0,114607.5,100.0,100.0,100.0,1.0,0.0
er,5,3,3.0,1.0,6.0,34200.0,20992.5,66807.5,82.0,75.0,88.0,1.0,1.75
er,5,5,3.0,1.0,6.0,41550.0,23982.5,66097.50000000003,99.0,96.0,100.0,1.0,1.75
er,5,10,4.0,1.0,8.0,52950.0,34197.5,78302.5,100.0,99.0,100.0,1.0,1.75
er,5,20,19.0,9.0,42.025000000000006,55900.0,33075.0,92650.00000000001,100.0,100.0,100.0,1.0,1.75
lattice,5,3,1.0,1.0,1.0,52500.0,29095.0,113105.0,82.0,75.0,88.0,1.0,0.0
lattice,5,5,1.0,1.0,2.0,63350.0,35590.0,99507.5,99.0,96.0,100.0,1.0,0.0
lattice,5,10,4.0,1.0,11.0,76900.0,43847.5,129512.50000000004,100.0,99.0,100.0,1.0,0.0
lattice,5,20,43.0,22.0,62.0,33350.0,10697.5,126335.00000000001,100.0,100.0,100.0,1.0,0.0
scale_free,5,3,1.0,1.0,1.0250000000000057,22700.0,11400.0,37830.00000000001,82.0,75.0,88.0,1.0,0.0
scale_free,5,5,1.0,1.0,2.0,28100.0,18080.0,43930.00000000001,99.0,96.0,100.0,1.0,0.0
scale_free,5,10,4.0,1.0,10.0,35350.0,22097.5,57042.50000000001,100.0,99.0,100.0,1.0,0.0
scale_free,5,20,30.0,13.975000000000001,48.0,38850.0,19177.5,78942.50000000001,100.0,100.0,100.0,1.0,0.0
