experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
topology_comparison,new_topology_script,1,complete,10,10,100,4950,99.0,4,5,3,200000,0,78,1,50600,True
topology_comparison,new_topology_script,2,complete,10,10,100,4950,99.0,4,5,3,200000,0,81,1,30300,True
topology_comparison,new_topology_script,3,complete,10,10,100,4950,99.0,4,5,3,200000,0,80,1,36000,True
topology_comparison,new_topology_script,4,complete,10,10,100,4950,99.0,4,5,3,200000,0,81,1,25300,True
topology_comparison,new_topology_script,5,complete,10,10,100,4950,99.0,4,5,3,200000,0,83,1,29600,True
topology_comparison,new_topology_script,6,complete,10,10,100,4950,99.0,4,5,3,200000,0,77,1,29800,True
topology_comparison,new_topology_script,7,complete,10,10,100,4950,99.0,4,5,3,200000,0,79,1,51100,True
topology_comparison,new_topology_script,8,complete,10,10,100,4950,99.0,4,5,3,200000,0,89,1,34300,True
topology_comparison,new_topology_script,9,complete,10,10,100,4950,99.0,4,5,3,200000,0,88,1,56300,True
topology_comparison,new_topology_script,10,complete,10,10,100,4950,99.0,4,5,3,200000,0,81,1,32200,True
topology_comparison,new_topology_script,11,complete,10,10,100,4950,99.0,4,5,3,200000,0,77,1,31600,True
topology_comparison,new_topology_script,12,complete,10,10,100,4950,99.0,4,5,3,200000,0,89,1,31800,True
topology_comparison,new_topology_script,13,complete,10,10,100,4950,99.0,4,5,3,200000,0,81,1,40300,True
topology_comparison,new_topology_script,14,complete,10,10,100,4950,99.0,4,5,3,200000,0,80,1,37000,True
topology_comparison,new_topology_script,15,complete,10,10,100,4950,99.0,4,5,3,200000,0,84,1,40500,True
topology_comparison,new_topology_script,16,complete,10,10,100,4950,99.0,4,5,3,200000,0,83,1,30600,True
topology_comparison,new_topology_script,17,complete,10,10,100,4950,99.0,4,5,3,200000,0,82,1,40800,True
topology_comparison,new_topology_script,18,complete,10,10,100,4950,99.0,4,5,3,200000,0,83,1,29000,True
topology_comparison,new_topology_script,19,complete,10,10,100,4950,99.0,4,5,3,200000,0,80,1,44500,True
topology_comparison,new_topology_script,20,complete,10,10,100,4950,99.0,4,5,3,200000,0,82,1,38400,True
