experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
topology_comparison,new_topology_script,1,scale_free,10,10,100,196,3.92,4,5,3,200000,0,78,1,24900,True
topology_comparison,new_topology_script,2,scale_free,10,10,100,196,3.92,4,5,3,200000,0,81,1,16200,True
topology_comparison,new_topology_script,3,scale_free,10,10,100,196,3.92,4,5,3,200000,0,80,1,32900,True
topology_comparison,new_topology_script,4,scale_free,10,10,100,196,3.92,4,5,3,200000,0,81,1,21000,True
topology_comparison,new_topology_script,5,scale_free,10,10,100,196,3.92,4,5,3,200000,0,83,1,12300,True
topology_comparison,new_topology_script,6,scale_free,10,10,100,196,3.92,4,5,3,200000,0,77,1,30500,True
topology_comparison,new_topology_script,7,scale_free,10,10,100,196,3.92,4,5,3,200000,0,79,1,11800,True
topology_comparison,new_topology_script,8,scale_free,10,10,100,196,3.92,4,5,3,200000,0,89,1,16200,True
topology_comparison,new_topology_script,9,scale_free,10,10,100,196,3.92,4,5,3,200000,0,88,1,13700,True
topology_comparison,new_topology_script,10,scale_free,10,10,100,196,3.92,4,5,3,200000,0,81,1,21400,True
topology_comparison,new_topology_script,11,scale_free,10,10,100,196,3.92,4,5,3,200000,0,77,1,26500,True
topology_comparison,new_topology_script,12,scale_free,10,10,100,196,3.92,4,5,3,200000,0,89,1,27700,True
topology_comparison,new_topology_script,13,scale_free,10,10,100,196,3.92,4,5,3,200000,0,81,1,15000,True
topology_comparison,new_topology_script,14,scale_free,10,10,100,196,3.92,4,5,3,200000,0,80,1,16300,True
topology_comparison,new_topology_script,15,scale_free,10,10,100,196,3.92,4,5,3,200000,0,84,1,27500,True
topology_comparison,new_topology_script,16,scale_free,10,10,100,196,3.92,4,5,3,200000,0,83,1,20500,True
topology_comparison,new_topology_script,17,scale_free,10,10,100,196,3.92,4,5,3,200000,0,82,1,35500,True
topology_comparison,new_topology_script,18,scale_free,10,10,100,196,3.92,4,5,3,200000,0,83,1,18900,True
topology_comparison,new_topology_script,19,scale_free,10,10,100,196,3.92,4,5,3,200000,0,80,1,14700,True
topology_comparison,new_topology_script,20,scale_free,10,10,100,196,3.92,4,5,3,200000,0,82,1,14200,True
